y_max,y_min,y_peak_to_peak,y_mean,y_median,y_std,y_abs_mean,y_energy,y_abs_area,x_at_y_max,x_at_y_min,first_third_energy,middle_third_energy,last_third_energy,first_third_std,middle_third_std,last_third_std,label,file_path,x,y,source_dataset,instance_id,y_pred,proba_0,proba_1,proba_2,proba_3
-2.942605347059678,-6.3525942455048385,3.409988898445161,-3.825237473980025,-3.830622498635484,0.1665597817602106,3.825237473980025,58655.39575685761,765.0440234440009,975.45,974.9,19919.89275298313,18774.552030584833,19960.950973289648,0.219930090338055,0.1099182021634649,0.1191771242330323,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T23-53-02.422299-Hohlrmtestk2_tr-[3269]-[-57.0,72.0,4.98]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt",-57,72,messreihe_2,messreihe_2_x-57_y72,3,0.0017874026,0.003824791,0.27389568,0.72049206
-3.039966519032258,-5.858033467503225,2.8180669484709675,-3.84879690461501,-3.854208408637096,0.1561837442357855,3.84879690461501,59365.3615307253,769.7557744967743,978.65,977.95,20145.65605054029,19034.306608712646,20185.398871472367,0.1960761983337167,0.1115585519252771,0.1193195774931868,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T09-34-12.037096-Hohlrmtestk2_tr-[11073]-[0.0,-13.0,5.69]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt",0,-13,messreihe_2,messreihe_2_x0_y-13,3,0.032710575,0.0043151663,0.47967535,0.4832988
-2.990613675169355,-6.169488262327419,3.178874587158064,-3.8211655145510344,-3.827102419609677,0.1622134908563817,3.8211655145510344,58525.10404394576,764.2288661831063,977.95,977.4,19873.43554938818,18751.563722994815,19900.104771562765,0.2110451749145901,0.1104472390321137,0.1184873083468693,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T06-34-31.890255-Hohlrmtestk2_tr-[8645]-[-19.0,-14.0,5.53]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",-19,-14,messreihe_2,messreihe_2_x-19_y-14,3,0.010727591,0.009472987,0.069304444,0.910495
-3.12212003285,-5.800055107180645,2.677935074330646,-3.8460020967936983,-3.8532765133032254,0.1500015712352405,3.8460020967936983,59271.74463225817,769.1970511363702,975.15,974.55,20115.884953566456,18979.199761662698,20176.65991702902,0.1806024489652369,0.1104089252471476,0.118495687326193,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T03-10-37.987420-Hohlrmtestk2_tr-[5907]-[-40.0,96.0,5.04]-[1.0,0.0,0.0,0.0]-delta[0.003mm-0.0deg]-avg20.txt",-40,96,messreihe_2,messreihe_2_x-40_y96,2,0.3346363,0.0029447721,0.4232727,0.23914617
-3.03194212861129,-6.256578992887097,3.224636864275807,-3.843813674861244,-3.8477340174,0.1599395489306919,3.843813674861244,59216.73738967617,768.7592142824362,977.35,977.95,20096.93106364251,18974.023457686184,20145.78286834748,0.2041049003440722,0.1107017266700015,0.1206155818592969,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T06-26-04.934825-Hohlrmtestk1_tr-[11697]-[6.0,-54.0,5.1]-[1.0,0.0,0.0,0.0]-delta[0.006mm-0.0deg]-avg20.txt",6,-54,messreihe_1,messreihe_1_x6_y-54,3,0.01569418,0.00677986,0.31706184,0.66046405
-3.1604516045741935,-6.013722708101613,2.85327110352742,-3.83068668424977,-3.8388022273774194,0.1586905775910853,3.83068668424977,58812.07203239108,766.1340219546356,975.55,975.0,19961.15548352666,18829.267461117917,20021.649087746497,0.2008593180312778,0.1098538665845545,0.1206722630269047,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T03-11-54.999353-Hohlrmtestk2_tr-[5925]-[-39.0,79.0,5.19]-[1.0,0.0,0.0,0.0]-delta[0.01mm-0.0deg]-avg20.txt",-39,79,messreihe_2,messreihe_2_x-39_y79,3,0.0018282343,0.0050868527,0.24639262,0.74669224
-3.618339771820968,-4.679147088451613,1.0608073166306444,-3.9598074104367904,-3.967310818879032,0.1264873649018615,3.9598074104367904,62799.99119870098,791.9577181035021,977.2,974.45,21278.12015649957,20152.975052764497,21368.895989436907,0.1135987379274956,0.1109774074585691,0.1199121429263629,0,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T01-20-31.767457-Hohlrmtestk1_tr-[7560]-[-26.0,57.0,5.07]-[1.0,0.0,0.0,0.0]-delta[0.01mm-0.0deg]-avg20.txt",-26,57,messreihe_1,messreihe_1_x-26_y57,0,0.99906355,0.00026651294,0.0003203039,0.00034972045
-3.064857874670968,-6.269627200346775,3.2047693256758065,-3.871736004013272,-3.8777718994677426,0.1604412379621009,3.871736004013272,60079.340383521485,774.3436358441911,974.45,975.05,20399.27988382896,19233.136554527475,20446.92394516505,0.2028743887833698,0.1115836415591434,0.1217577424723602,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T17-40-12.059149-Hohlrmtestk1_tr-[1418]-[-70.0,62.0,4.21]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt",-70,62,messreihe_1,messreihe_1_x-70_y62,3,0.055418126,0.041318543,0.29246822,0.6107951
-1.225819471416129,-11.867794481211291,10.641975009795162,-3.3838692458703643,-3.393494464477419,0.3727234420968243,3.3838692458703643,46369.56484358052,676.7707184391672,971.65,972.25,16118.93822420597,14578.73236965783,15671.894249716726,0.6155747104058603,0.1119581530891259,0.124945152191794,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T06-48-12.906832-Hohlrmtestk2_tr-[8830]-[-18.0,118.0,2.6]-[1.0,0.0,0.0,0.0]-delta[0.003mm-0.0deg]-avg20.txt",-18,118,messreihe_2,messreihe_2_x-18_y118,3,0.0032845754,0.0049940804,0.0021734224,0.98954785
-2.484477721532258,-6.5812758844677415,4.0967981629354835,-3.857192965699174,-3.8625615494741927,0.1668575659947743,3.857192965699174,59638.021866897514,771.434509309034,977.65,976.85,20225.481453730903,19214.730456308294,20197.809956858313,0.2385877897653157,0.0964464257362331,0.1062400597385363,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T17-57-01.827849-Hohlrmtestk3_tr-[1450]-[-69.0,-60.0,4.69]-[1.0,0.0,0.0,0.0]-delta[0.018mm-0.0deg]-avg20.txt",-69,-60,messreihe_3,messreihe_3_x-69_y-60,3,0.028685007,0.05288351,0.009772202,0.9086593
-3.11245000606129,-6.012641607993548,2.9001916019322582,-3.897057413088536,-3.9024221432677417,0.1495962963063503,3.897057413088536,60852.95156664033,779.4076255564572,976.65,977.2,20635.42555227079,19514.923959031046,20702.602055338495,0.1802741211454449,0.1106894892287581,0.1189024691650482,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T03-01-44.862529-Hohlrmtestk1_tr-[8929]-[-16.0,36.0,5.89]-[1.0,0.0,0.0,0.0]-delta[0.012mm-0.0deg]-avg20.txt",-16,36,messreihe_1,messreihe_1_x-16_y36,3,0.035041552,0.05202875,0.2794318,0.6334979
