model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.9,0.45,0.7491481612031489,0.8632576275745174,0.7388512445223637,0.7857041182371226,7,0.54858934169279,314,5.740402193784278,4.310344827586207,29.762340036563074
hgb,0.9,0.5,0.7483256961579133,0.8621748867858943,0.738505138539267,0.7855750117804439,7,0.54858934169279,316,5.776965265082267,4.310344827586207,29.725776965265084
hgb,0.9,0.55,0.7473857361062155,0.8604654850764926,0.737297697784983,0.7849849416830726,7,0.54858934169279,316,5.776965265082267,4.310344827586207,29.725776965265084
hgb,0.9,0.6,0.746093291035131,0.8585280434331686,0.7358858492487829,0.7842204485296435,7,0.54858934169279,317,5.795246800731261,4.310344827586207,29.70749542961609
hgb,0.9,0.65,0.7442133709317355,0.8555222257214685,0.7338538931353819,0.7831745178240146,7,0.54858934169279,318,5.813528336380256,4.310344827586207,29.689213893967093
hgb,0.9,0.7,0.742920925860651,0.8533782912245929,0.7325492065484682,0.7825398778627205,7,0.54858934169279,319,5.83180987202925,4.310344827586207,29.670932358318097
hgb,0.95,0.4,0.6891082129009517,0.8426705713151976,0.6997883434279036,0.7293520143560439,4,0.3134796238244514,435,7.952468007312614,4.38871473354232,37.12979890310786
hgb,0.95,0.45,0.6886382328751028,0.8426418418747035,0.7002708172073849,0.7295779285904717,4,0.3134796238244514,437,7.989031078610603,4.38871473354232,37.09323583180987
hgb,0.95,0.5,0.6878157678298672,0.8415591010860803,0.700038967360269,0.7294866735810925,4,0.3134796238244514,439,8.025594149908592,4.38871473354232,37.05667276051188
hgb,0.95,0.55,0.6868758077781695,0.8398496993766786,0.6988930309883776,0.7289138024533013,4,0.3134796238244514,439,8.025594149908592,4.38871473354232,37.05667276051188
hgb,0.95,0.6,0.685583362707085,0.8379122577333546,0.6975811076244111,0.7281889991053516,4,0.3134796238244514,440,8.043875685557587,4.38871473354232,37.038391224862885
hgb,0.95,0.65,0.6837034426036893,0.8349064400216546,0.6957065525618404,0.7272006960748337,4,0.3134796238244514,441,8.062157221206581,4.38871473354232,37.02010968921389
hgb,0.95,0.7,0.6824109975326048,0.8327625055247789,0.6945232022965554,0.7266077205283276,4,0.3134796238244514,442,8.080438756855576,4.38871473354232,37.0018281535649
mlp,0.7,0.4,0.8849723886734814,0.841592193172452,0.8171167024032788,0.8905551085657033,54,4.231974921630094,101,1.846435100548446,3.1347962382445136,8.263254113345521
mlp,0.7,0.45,0.884267418634708,0.8413426061581591,0.8166137418381513,0.8902096156731792,54,4.231974921630094,103,1.882998171846435,3.1347962382445136,8.226691042047532
mlp,0.7,0.5,0.8834449535894724,0.8400533725159843,0.8153684795475113,0.8897274048968834,54,4.231974921630094,106,1.9378427787934187,3.1347962382445136,8.171846435100548
mlp,0.7,0.55,0.8822700035248502,0.8383296060863356,0.8136336108658274,0.8890339211197174,54,4.231974921630094,108,1.9744058500914077,3.1347962382445136,8.135283363802559
mlp,0.7,0.6,0.8822700035248502,0.8389490846469906,0.8141197148936528,0.8892032723860838,54,4.231974921630094,109,1.992687385740402,3.1347962382445136,8.117001828153565
