model,red_threshold,green_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.6,0.995,0.6637292915051111,0.796585102101306,0.717200928343758,0.6844505649364236,1,0.07836990595611285,31,0.56672760511883,10.9717868338558,49.06764168190128
hgb,0.65,0.995,0.6631418164727999,0.7952789370020373,0.7167136628201564,0.6841863277575517,1,0.07836990595611285,27,0.4936014625228519,11.363636363636363,49.14076782449725
hgb,0.7,0.995,0.6619668664081777,0.7925218555890997,0.7153944962712052,0.6835392784663156,1,0.07836990595611285,23,0.4204753199268739,12.304075235109718,49.213893967093234
hgb_final,0.2,0.97,0.8978968393843262,0.9446746147656153,0.9036495006994651,0.9033068777985176,3,0.23510971786833856,12,0.21937842778793418,0.3918495297805642,15.411334552102376
hgb_final,0.25,0.97,0.8977793443778639,0.9444133817457615,0.9035928756135453,0.9032497074480359,3,0.23510971786833856,10,0.18281535648994515,0.4702194357366771,15.447897623400367
hgb_final,0.3,0.97,0.8977793443778639,0.9444133817457615,0.9037295872440912,0.9032900858116293,3,0.23510971786833856,8,0.14625228519195613,0.4702194357366771,15.484460694698354
hgb_final,0.35,0.97,0.8977793443778639,0.9444133817457615,0.9037981374256389,0.9033103696466596,3,0.23510971786833856,7,0.12797074954296161,0.4702194357366771,15.50274223034735
hgb_final,0.4,0.97,0.8976618493714017,0.9441521487259079,0.903605379410028,0.9032131294802216,3,0.23510971786833856,7,0.12797074954296161,0.54858934169279,15.50274223034735
hgb_final,0.45,0.97,0.8976618493714017,0.9441521487259079,0.9037429235222231,0.903253920810296,3,0.23510971786833856,5,0.09140767824497258,0.54858934169279,15.539305301645337
hgb_final,0.5,0.97,0.8976618493714017,0.9441521487259079,0.9037429235222231,0.903253920810296,3,0.23510971786833856,5,0.09140767824497258,0.54858934169279,15.539305301645337
hgb_final,0.55,0.97,0.897309364352015,0.9433684496663467,0.9031643598261709,0.9029621277436906,3,0.23510971786833856,5,0.09140767824497258,0.7836990595611284,15.539305301645337
hgb_final,0.6,0.97,0.8971918693455528,0.943107216646493,0.9029713537265464,0.9028648048324391,3,0.23510971786833856,5,0.09140767824497258,0.8620689655172413,15.539305301645337
hgb_final,0.65,0.97,0.8970743743390905,0.9428459836266393,0.9027782716243128,0.9027674525319492,3,0.23510971786833856,5,0.09140767824497258,0.9404388714733543,15.539305301645337
hgb_final,0.7,0.97,0.8969568793326284,0.9425847506067856,0.9025851133779245,0.9026700707752789,3,0.23510971786833856,5,0.09140767824497258,1.018808777429467,15.539305301645337
hgb_final,0.2,0.975,0.8833274585830102,0.9372461656578542,0.891721170681199,0.8900781750880965,1,0.07836990595611285,12,0.21937842778793418,0.54858934169279,17.69652650822669
hgb_final,0.25,0.975,0.883209963576548,0.9369849326380008,0.8916747579124626,0.8900273581883826,1,0.07836990595611285,10,0.18281535648994515,0.6269592476489028,17.73308957952468
hgb_final,0.3,0.975,0.883209963576548,0.9369849326380008,0.8918182662184377,0.8900719650088434,1,0.07836990595611285,8,0.14625228519195613,0.6269592476489028,17.76965265082267
hgb_final,0.35,0.975,0.883209963576548,0.9369849326380008,0.8918902112831363,0.8900943609230987,1,0.07836990595611285,7,0.12797074954296161,0.6269592476489028,17.787934186471663
hgb_final,0.4,0.975,0.8830924685700857,0.9367236996181468,0.8917008458504037,0.889999231404803,1,0.07836990595611285,7,0.12797074954296161,0.7053291536050157,17.787934186471663
hgb_final,0.45,0.975,0.8830924685700857,0.9367236996181468,0.8918451682358318,0.8900442397430749,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,17.824497257769654
hgb_final,0.5,0.975,0.8830924685700857,0.9367236996181468,0.8918451682358318,0.8900442397430749,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,17.824497257769654
hgb_final,0.55,0.975,0.882739983550699,0.9359400005585857,0.8912767547493666,0.8897587614878623,1,0.07836990595611285,5,0.09140767824497258,0.9404388714733543,17.824497257769654
