label,if_score,if_label,file_path
0,0.4368237836963066,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T05-54-04.630986-Hohlrmtestk1_tr-[11263]-[2.0,-3.0,5.01]-[1.0,0.0,0.0,0.0]-delta[0.018mm-0.0deg]-avg20.txt"
3,0.42433495992722636,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-10T02-37-46.104001-Hohlrmtestk3_tr-[8107]-[-15.0,-38.0,5.48]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt"
0,0.4186237048910177,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T03-40-14.361394-Hohlrmtestk1_tr-[9452]-[-12.0,-37.0,4.78]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
3,0.4188188099003973,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T04-38-35.487385-Hohlrmtestk1_tr-[10243]-[-6.0,-55.0,4.73]-[1.0,0.0,0.0,0.0]-delta[0.006mm-0.0deg]-avg20.txt"
0,0.4979339142234331,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T12-32-16.237391-Hohlrmtestk2_tr-[13485]-[20.0,34.0,6.34]-[1.0,0.0,0.0,0.0]-delta[0.02mm-0.0deg]-avg20.txt"
0,0.4066188759314279,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T09-37-26.786657-Hohlrmtestk1_tr-[14294]-[29.0,-53.0,5.83]-[1.0,0.0,0.0,0.0]-delta[0.004mm-0.0deg]-avg20.txt"
3,0.41287150419810525,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T20-52-03.511186-Hohlrmtestk1_tr-[3977]-[-53.0,-60.0,4.6]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt"
3,0.4009453821599371,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T07-26-13.352254-Hohlrmtestk1_tr-[12513]-[12.0,81.0,5.95]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt"
1,0.4802019501612385,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T14-05-17.668232-Hohlrmtestk1_tr-[17923]-[54.0,-23.0,6.71]-[1.0,0.0,0.0,0.0]-delta[0.019mm-0.0deg]-avg20.txt"
3,0.41113095353189266,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T20-05-10.958486-Hohlrmtestk3_tr-[3092]-[-58.0,63.0,4.66]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
2,0.48784986426263033,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T10-55-20.260667-Hohlrmtestk1_tr-[15353]-[37.0,95.0,5.57]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
2,0.40987779063509905,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T08-21-10.824645-Hohlrmtestk2_tr-[10089]-[-8.0,-49.0,5.86]-[1.0,0.0,0.0,0.0]-delta[0.01mm-0.0deg]-avg20.txt"
3,0.43727818475319125,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-10T02-42-25.208446-Hohlrmtestk3_tr-[8162]-[-14.0,-8.0,5.52]-[1.0,0.0,0.0,0.0]-delta[0.006mm-0.0deg]-avg20.txt"
2,0.40163537699501456,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T21-51-24.310757-Hohlrmtestk2_tr-[1646]-[-68.0,-43.0,4.65]-[1.0,0.0,0.0,0.0]-delta[0.016mm-0.0deg]-avg20.txt"
0,0.5236681454899677,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T13-21-47.278115-Hohlrmtestk2_tr-[14152]-[27.0,-45.0,6.78]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
0,0.4032689999963422,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T13-05-12.381003-Hohlrmtestk1_tr-[17109]-[48.0,69.0,6.12]-[1.0,0.0,0.0,0.0]-delta[0.017mm-0.0deg]-avg20.txt"
1,0.4031542370753407,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T22-49-25.410767-Hohlrmtestk1_tr-[5542]-[-42.0,21.0,5.02]-[1.0,0.0,0.0,0.0]-delta[0.02mm-0.0deg]-avg20.txt"
3,0.4311951550891761,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T19-16-17.088673-Hohlrmtestk1_tr-[2702]-[-61.0,28.0,4.51]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
3,0.5137814303978966,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T16-37-42.527376-Hohlrmtestk1_tr-[19971]-[68.0,-63.0,5.61]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt"
0,0.4996682251597409,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T09-06-46.458768-Hohlrmtestk1_tr-[13878]-[27.0,86.0,5.86]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
3,0.4263892112449088,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T00-42-39.786915-Hohlrmtestk1_tr-[7056]-[-32.0,40.0,4.96]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
3,0.44256349695368485,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T17-45-40.776325-Hohlrmtestk1_tr-[20880]-[74.0,-48.0,5.41]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
2,0.5023123529911087,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T16-14-38.070947-Hohlrmtestk1_tr-[19664]-[65.0,-58.0,5.66]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
0,0.519811542914629,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T19-00-37.662857-Hohlrmtestk3_tr-[2266]-[-64.0,-3.0,4.26]-[1.0,0.0,0.0,0.0]-delta[0.029mm-0.0deg]-avg20.txt"
3,0.3995832196091683,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T20-49-07.696487-Hohlrmtestk2_tr-[811]-[-74.0,20.0,4.66]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt"
3,0.48229735105525007,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T14-25-17.507632-Hohlrmtestk1_tr-[18193]-[56.0,-55.0,5.76]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
1,0.4047501367282214,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T22-46-19.619995-Hohlrmtestk1_tr-[5502]-[-42.0,-22.0,5.08]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt"
1,0.4504916715850128,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T02-20-53.279432-Hohlrmtestk2_tr-[5241]-[-44.0,13.0,6.12]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt"
1,0.5199064504308575,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T21-57-17.461192-Hohlrmtestk2_tr-[1723]-[-68.0,45.0,5.21]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
3,0.43680043117086625,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T20-37-00.794771-Hohlrmtestk3_tr-[3499]-[-56.0,-59.0,4.73]-[1.0,0.0,0.0,0.0]-delta[0.019mm-0.0deg]-avg20.txt"
1,0.3886821986855934,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T20-48-41.278403-Hohlrmtestk2_tr-[20182]-[69.0,80.0,5.9]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
3,0.47379640137444656,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T04-16-11.088076-Hohlrmtestk2_tr-[6786]-[-34.0,76.0,5.01]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
3,0.4169610571446975,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T21-48-52.498272-Hohlrmtestk3_tr-[4421]-[-49.0,-27.0,4.63]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
1,0.4533667460494318,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T17-54-28.942913-Hohlrmtestk1_tr-[1609]-[-68.0,-56.0,4.23]-[1.0,0.0,0.0,0.0]-delta[0.01mm-0.0deg]-avg20.txt"
0,0.48827582312455803,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T16-02-30.766026-Hohlrmtestk2_tr-[16319]-[42.0,35.0,6.01]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt"
3,0.40522666543661773,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T12-57-30.793225-Hohlrmtestk1_tr-[17005]-[48.0,-49.0,5.71]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
0,0.4456863729414262,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T06-53-59.212270-Hohlrmtestk1_tr-[12076]-[9.0,68.0,6.2]-[1.0,0.0,0.0,0.0]-delta[0.001mm-0.0deg]-avg20.txt"
1,0.48327702915908155,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T01-03-44.905106-Hohlrmtestk2_tr-[4214]-[-51.0,8.0,5.36]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt"
0,0.4938557935228961,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T16-50-04.378704-Hohlrmtestk3_tr-[593]-[-75.0,-37.0,4.75]-[1.0,0.0,0.0,0.0]-delta[0.012mm-0.0deg]-avg20.txt"
3,0.39971892899681016,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T06-50-54.514980-Hohlrmtestk2_tr-[8867]-[-17.0,81.0,6.02]-[1.0,0.0,0.0,0.0]-delta[0.012mm-0.0deg]-avg20.txt"
0,0.42497625899818564,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T05-32-36.010424-Hohlrmtestk2_tr-[7810]-[-25.0,-15.0,5.29]-[1.0,0.0,0.0,0.0]-delta[0.004mm-0.0deg]-avg20.txt"
3,0.46362929012744175,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T23-19-49.027846-Hohlrmtestk3_tr-[5590]-[-41.0,-44.0,5.15]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
3,0.500299113874516,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T21-03-26.791409-Hohlrmtestk1_tr-[4129]-[-52.0,95.0,4.27]-[1.0,0.0,0.0,0.0]-delta[0.017mm-0.0deg]-avg20.txt"
